id,area_sqft,bedrooms,bathrooms,locations,year_built,garage,price
1,1360.0,3.0,,,2023,,36535897
2,1360.0,,,,1998,,39319409
3,,,3.0,Kathmandu,2015,1.0,28463212
4,1360.0,,,Bhaktapur,1991,2.0,25220404
5,1360.0,3.0,,,1998,2.0,30023633
6,,,4.0,,1998,1.0,19091044
7,,3.0,4.0,Kathmandu,2006,,37709612
8,1360.0,5.0,,Kathmandu,1990,0.0,25336095
9,,,,,2014,,24942371
10,,,,,2014,0.0,28129360
11,,,4.0,Bhaktapur,2024,0.0,11551330
12,1360.0,2.0,,,1992,,10971248
13,,4.0,,Bhaktapur,2019,,14657851
14,,,,Bhaktapur,2023,,33472522
15,,,,,2001,2.0,15378750
16,1360.0,,3.0,,2008,,12607411
17,1360.0,1.0,,,2006,2.0,11693439
18,,,4.0,Bhaktapur,1999,,28608310
19,1360.0,2.0,,Kathmandu,2001,2.0,13437172
20,1360.0,5.0,,Kathmandu,2005,,26604953
21,1360.0,4.0,3.0,,2013,,19447933
22,1360.0,1.0,,,2008,,16919875
23,,1.0,1.0,,1997,,32700577
24,,,,,2020,2.0,28740787
25,1360.0,3.0,3.0,Kathmandu,2010,1.0,15542511
26,1360.0,,,Kathmandu,2006,0.0,22807931
27,,,,Lalitpur,2012,,24058065
28,1360.0,,4.0,Lalitpur,2005,2.0,35763042
29,,,,Bhaktapur,1995,,13815144
30,1360.0,4.0,,,1997,,30213468
31,,4.0,,Lalitpur,2014,,26541107
32,1360.0,,1.0,,2007,,10817052
33,,,,,2014,,37151781
34,1360.0,5.0,,,2001,2.0,17596585
35,1360.0,3.0,1.0,,2004,,26177172
36,,,3.0,Kathmandu,2015,0.0,23302313
37,,1.0,1.0,,2015,,16269324
38,1360.0,,1.0,Lalitpur,2021,,11428080
39,1360.0,,2.0,Lalitpur,1999,1.0,19490536
40,1360.0,,,,2005,2.0,12521279
41,1360.0,,3.0,,1996,1.0,34281104
42,1360.0,2.0,,,2006,,20488951
43,1360.0,,3.0,Kathmandu,2012,,22485000
